ticker,earn_dt,next_earn,entry_dt,short_exp,long_exp,spot,strike,short_call,short_put,long_call,long_put
AAPL,2016-01-26,2016-04-26,2016-01-19,2016-01-29,2016-05-20,96.66000366210938,95.0,AAPL  160129C00095000,AAPL  160129P00095000,AAPL  160520C00095000,AAPL  160520P00095000
AAPL,2016-04-26,2016-07-26,2016-04-19,2016-04-29,2016-08-19,106.91000366210938,105.0,AAPL  160429C00105000,AAPL  160429P00105000,AAPL  160819C00105000,AAPL  160819P00105000
AAPL,2016-07-26,2016-10-25,2016-07-19,2016-07-29,2016-11-18,99.87000274658203,100.0,AAPL  160729C00100000,AAPL  160729P00100000,AAPL  161118C00100000,AAPL  161118P00100000
AAPL,2016-10-25,2017-01-31,2016-10-18,2016-10-28,2017-02-17,117.47000122070312,115.0,AAPL  161028C00115000,AAPL  161028P00115000,AAPL  170217C00115000,AAPL  170217P00115000
AAPL,2017-01-31,2017-05-02,2017-01-24,2017-02-03,2017-05-19,119.97000122070312,120.0,AAPL  170203C00120000,AAPL  170203P00120000,AAPL  170519C00120000,AAPL  170519P00120000
AAPL,2017-05-02,2017-08-01,2017-04-25,2017-05-05,2017-08-18,144.52999877929688,145.0,AAPL  170505C00145000,AAPL  170505P00145000,AAPL  170818C00145000,AAPL  170818P00145000
AAPL,2017-08-01,2017-11-02,2017-07-25,2017-08-04,2017-11-17,152.74000549316406,155.0,AAPL  170804C00155000,AAPL  170804P00155000,AAPL  171117C00155000,AAPL  171117P00155000
AAPL,2017-11-02,2018-02-01,2017-10-26,2017-11-03,2018-02-16,157.41000366210938,155.0,AAPL  171103C00155000,AAPL  171103P00155000,AAPL  180216C00155000,AAPL  180216P00155000
AAPL,2018-02-01,2018-05-01,2018-01-25,2018-02-02,2018-05-18,171.11000061035156,170.0,AAPL  180202C00170000,AAPL  180202P00170000,AAPL  180518C00170000,AAPL  180518P00170000
AAPL,2018-05-01,2018-07-31,2018-04-24,2018-05-04,2018-08-17,162.94000244140625,165.0,AAPL  180504C00165000,AAPL  180504P00165000,AAPL  180817C00165000,AAPL  180817P00165000
AAPL,2018-07-31,2018-11-01,2018-07-24,2018-08-03,2018-11-16,193.0,195.0,AAPL  180803C00195000,AAPL  180803P00195000,AAPL  181116C00195000,AAPL  181116P00195000
AAPL,2018-11-01,2019-01-29,2018-10-25,2018-11-02,2019-02-15,219.8000030517578,220.0,AAPL  181102C00220000,AAPL  181102P00220000,AAPL  190215C00220000,AAPL  190215P00220000
AAPL,2019-01-29,2019-04-30,2019-01-22,2019-02-01,2019-05-17,153.3000030517578,155.0,AAPL  190201C00155000,AAPL  190201P00155000,AAPL  190517C00155000,AAPL  190517P00155000
AAPL,2019-04-30,2019-07-30,2019-04-23,2019-05-03,2019-08-16,207.47999572753906,210.0,AAPL  190503C00210000,AAPL  190503P00210000,AAPL  190816C00210000,AAPL  190816P00210000
AAPL,2019-07-30,2019-10-30,2019-07-23,2019-08-02,2019-11-15,208.83999633789062,210.0,AAPL  190802C00210000,AAPL  190802P00210000,AAPL  191115C00210000,AAPL  191115P00210000
