Ticker,Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
AAPL,2016-01-26,0.81,0.82,1.67
AAPL,2016-04-26,0.5,0.48,-5.09
AAPL,2016-07-26,0.35,0.36,2.73
AAPL,2016-10-25,0.41,0.42,0.82
AAPL,2017-01-31,0.81,0.84,4.25
AAPL,2017-05-02,0.51,0.53,3.88
AAPL,2017-08-01,0.39,0.42,6.15
AAPL,2017-11-02,0.47,0.52,10.53
AAPL,2018-02-01,0.96,0.97,1.1
AAPL,2018-05-01,0.67,0.68,2.19
AAPL,2018-07-31,0.54,0.59,7.38
AAPL,2018-11-01,0.7,0.73,4.55
AAPL,2019-01-29,1.04,1.05,0.27
AAPL,2019-04-30,0.59,0.62,4.05
AAPL,2019-07-30,0.53,0.55,3.62
AAPL,2019-10-30,0.71,0.76,6.54
AAPL,2020-01-28,1.13,1.25,9.97
AAPL,2020-04-30,0.56,0.64,12.93
AAPL,2020-07-30,0.52,0.65,24.45
AAPL,2020-10-29,0.7,0.73,4.5
AAPL,2021-01-27,1.42,1.68,18.67
AAPL,2021-04-28,0.98,1.4,42.16
AAPL,2021-07-27,1.01,1.3,28.56
AAPL,2021-10-28,1.24,1.24,0.17
AAPL,2022-01-27,1.89,2.1,11.2
AAPL,2022-04-28,1.43,1.52,6.48
AAPL,2022-07-28,1.15,1.2,3.93
AAPL,2022-10-27,1.27,1.29,1.44
AAPL,2023-02-02,1.95,1.88,-3.78
AAPL,2023-05-04,1.43,1.52,6.37
AAPL,2023-08-03,1.19,1.26,5.66
AAPL,2023-11-02,1.39,1.46,4.93
AAPL,2024-02-01,2.11,2.18,3.55
AAPL,2024-05-02,1.5,1.53,2.05
AAPL,2024-08-01,1.34,1.4,4.36
AAPL,2024-10-31,0.95,0.97,2.48
AAPL,2025-01-30,2.34,2.4,2.52
AAPL,2025-05-01,1.62,1.65,1.69
AAPL,2025-07-31,1.43,1.57,10.12
AAPL,2025-10-30,1.77,1.85,4.52
AAPL,2026-01-29,2.67,2.84,6.25
ABNB,2021-02-25,-8.81,-11.24,-27.61
ABNB,2021-05-14,-1.16,-1.95,-67.99
ABNB,2021-08-12,-0.43,-0.11,74.69
ABNB,2021-11-04,0.7,1.22,73.77
ABNB,2022-02-15,0.04,0.08,89.35
ABNB,2022-05-03,-0.3,-0.03,89.99
ABNB,2022-08-02,0.43,0.56,30.53
ABNB,2022-11-01,1.5,1.79,19.42
ABNB,2023-02-14,0.27,0.48,79.76
ABNB,2023-05-09,0.1,0.18,82.28
ABNB,2023-08-03,0.78,0.98,26.19
ABNB,2023-11-01,2.1,6.63,215.68
ABNB,2024-02-13,0.55,-0.55,-199.2
ABNB,2024-05-08,0.23,0.41,77.09
ABNB,2024-08-06,0.91,0.86,-5.66
ABNB,2024-11-07,2.15,2.13,-0.89
ABNB,2025-02-13,0.58,0.73,25.49
ABNB,2025-05-01,0.24,0.24,2.03
ABNB,2025-08-06,0.94,1.03,9.41
ABNB,2025-11-06,2.32,2.21,-4.76
ABNB,2026-02-12,0.66,0.56,-15.65
ACM,2016-02-09,0.63,0.68,8.11
ACM,2016-05-10,0.73,0.87,19.26
ACM,2016-08-09,0.7,0.81,15.81
ACM,2016-11-14,0.7,0.65,-7.7
ACM,2017-02-07,0.53,0.53,0.88
ACM,2017-05-09,0.61,0.89,46.17
ACM,2017-08-08,0.8,0.78,-2.6
ACM,2017-11-13,0.72,0.74,2.51
ACM,2018-02-06,0.55,0.57,4.46
ACM,2018-05-08,0.66,0.67,1.44
ACM,2018-08-07,0.64,0.62,-3.21
ACM,2018-11-12,0.82,0.83,1.28
ACM,2019-02-05,0.52,0.56,7.61
ACM,2019-05-08,0.64,0.69,7.41
ACM,2019-08-06,0.75,0.72,-3.43
ACM,2019-11-12,0.8,0.79,-0.69
ACM,2020-02-03,0.39,0.46,17.95
ACM,2020-05-05,0.5,0.55,10.89
ACM,2020-08-04,0.49,0.55,12.82
ACM,2020-11-16,0.57,0.6,5.15
ACM,2021-02-08,0.57,0.62,8.62
ACM,2021-05-10,0.63,0.67,6.94
ACM,2021-08-09,0.73,0.73,0.3
ACM,2021-11-15,0.77,0.81,5.19
ACM,2022-02-07,0.77,0.89,15.4
ACM,2022-05-09,0.78,0.83,6.43
ACM,2022-08-08,0.82,0.86,5.03
ACM,2022-11-14,0.83,0.89,7.65
ACM,2023-02-06,0.82,0.86,5.14
ACM,2023-05-08,0.9,0.92,2.33
ACM,2023-08-07,0.94,0.94,-0.33
ACM,2023-11-13,0.97,1.01,4.19
ACM,2024-02-05,0.95,1.05,10.04
ACM,2024-05-06,1.05,1.04,-0.77
ACM,2024-08-05,1.12,1.16,3.24
ACM,2024-11-18,1.25,1.27,1.89
ACM,2025-02-03,1.1,1.31,18.57
ACM,2025-05-05,1.19,1.25,4.84
ACM,2025-08-04,1.25,0.98,-21.6
ACM,2025-11-18,1.34,1.36,1.67
ACM,2026-02-09,1.16,1.29,10.89
ADBE,2016-03-17,0.61,0.66,8.65
ADBE,2016-06-21,0.68,0.71,4.45
ADBE,2016-09-20,0.72,0.75,3.66
ADBE,2016-12-15,0.86,0.9,4.46
ADBE,2017-03-16,0.87,0.94,7.84
ADBE,2017-06-20,0.95,1.02,7.85
ADBE,2017-09-19,1.01,1.1,9.2
ADBE,2017-12-14,1.16,1.26,8.92
ADBE,2018-03-15,1.44,1.55,7.78
ADBE,2018-06-14,1.54,1.66,7.63
ADBE,2018-09-13,1.69,1.73,2.32
ADBE,2018-12-13,1.84,1.83,-0.27
ADBE,2019-03-14,1.62,1.71,5.79
ADBE,2019-06-18,1.78,1.83,2.58
ADBE,2019-09-17,1.97,2.05,3.86
ADBE,2019-12-12,2.26,2.29,1.43
ADBE,2020-03-12,2.23,2.27,1.96
ADBE,2020-06-11,2.32,2.45,5.68
ADBE,2020-09-15,2.41,2.57,6.56
ADBE,2020-12-10,2.66,2.81,5.66
ADBE,2021-03-23,2.79,3.14,12.68
ADBE,2021-06-17,2.82,3.03,7.55
ADBE,2021-09-21,3.02,3.11,3.11
ADBE,2021-12-16,3.2,3.2,0.04
ADBE,2022-03-22,3.34,3.37,0.78
ADBE,2022-06-16,3.31,3.35,1.31
ADBE,2022-09-15,3.34,3.4,1.66
ADBE,2022-12-15,3.5,3.6,2.72
ADBE,2023-03-15,3.68,3.8,3.25
ADBE,2023-06-15,3.79,3.91,3.22
ADBE,2023-09-14,3.98,4.1,3.06
