date,delta_dollars,gamma_dollars,vega_dollars,theta_dollars,open_legs,n_tickers
2016-01-07,0.0,0.0,0.0,9.350045852446618,0,1
2016-01-08,0.0,0.0,0.0,9.506078886848922,0,1
2016-01-11,0.0,0.0,0.0,16.896545995819434,0,1
2016-01-12,0.0,0.0,0.0,98.91081488452852,0,3
2016-01-13,0.0,0.0,0.0,112.47761659686711,0,3
2016-01-14,0.0,0.0,0.0,148.94294100708993,0,3
2016-01-15,0.0,0.0,0.0,81.18172756839269,0,3
2016-01-19,0.0,0.0,0.0,241.84979257241807,0,3
2016-01-20,0.0,0.0,0.0,145.0286631922678,0,4
2016-01-21,0.0,0.0,0.0,532.3095474008951,0,8
2016-01-22,0.0,0.0,0.0,509.0633276696721,0,8
2016-01-25,0.0,0.0,0.0,1102.5262743034434,0,7
2016-01-26,0.0,0.0,0.0,1286.4468539566367,0,7
2016-01-27,0.0,0.0,0.0,1903.5950631168357,0,7
2016-01-28,0.0,0.0,0.0,2090.047260584074,0,7
2016-01-29,0.0,0.0,0.0,254.6195757416431,0,7
2016-02-01,0.0,0.0,0.0,411.72770024113674,0,4
2016-02-02,0.0,0.0,0.0,54.94069223748412,0,4
2016-02-03,0.0,0.0,0.0,317.7132520597414,0,6
2016-02-04,0.0,0.0,0.0,717.7658085141642,0,6
2016-02-05,0.0,0.0,0.0,95.55528421360683,0,6
2016-02-08,0.0,0.0,0.0,108.06195759893268,0,5
2016-02-09,0.0,0.0,0.0,179.83757081913012,0,5
2016-02-10,0.0,0.0,0.0,292.4461081247829,0,5
2016-02-11,0.0,0.0,0.0,-6.8612284254161295,0,5
2016-02-12,0.0,0.0,0.0,-47.437063964442395,0,5
2016-02-16,0.0,0.0,0.0,-50.42328341870493,0,4
2016-02-17,0.0,0.0,0.0,-52.502153383707686,0,4
2016-02-18,0.0,0.0,0.0,-54.77433510474303,0,5
2016-02-19,0.0,0.0,0.0,-54.10327655910221,0,5
2016-02-22,0.0,0.0,0.0,-103.56873651164183,0,6
2016-02-23,0.0,0.0,0.0,-120.95559087614204,0,8
2016-02-24,0.0,0.0,0.0,-123.7173480230657,0,8
2016-02-25,0.0,0.0,0.0,-56.84247940196063,0,9
2016-02-26,0.0,0.0,0.0,-47.67069886710336,0,9
2016-02-29,0.0,0.0,0.0,4.114300869173055,0,9
2016-03-01,0.0,0.0,0.0,-6.7808851691256855,0,9
2016-03-02,0.0,0.0,0.0,68.99916824576287,0,9
2016-03-03,0.0,0.0,0.0,264.45067689000774,0,9
2016-03-04,0.0,0.0,0.0,-127.57876887371755,0,9
2016-03-07,0.0,0.0,0.0,-130.69726798814398,0,8
2016-03-08,0.0,0.0,0.0,-123.86449704615272,0,9
2016-03-09,0.0,0.0,0.0,-123.81711258638614,0,9
2016-03-10,0.0,0.0,0.0,-95.57149492552904,0,10
2016-03-11,0.0,0.0,0.0,-88.08480347480946,0,10
2016-03-14,0.0,0.0,0.0,-57.18162305031417,0,10
2016-03-15,0.0,0.0,0.0,-27.97975077639954,0,10
2016-03-16,0.0,0.0,0.0,-23.74505603907263,0,10
2016-03-17,0.0,0.0,0.0,67.40441032953045,0,10
2016-03-18,0.0,0.0,0.0,-136.97413134608146,0,10
2016-03-21,0.0,0.0,0.0,-154.65057838728376,0,12
2016-03-22,0.0,0.0,0.0,-160.33416657336053,0,12
2016-03-23,0.0,0.0,0.0,-168.41336011306475,0,13
2016-03-24,0.0,0.0,0.0,-169.05864740028952,0,13
2016-03-28,0.0,0.0,0.0,-175.44596271792835,0,13
2016-03-29,0.0,0.0,0.0,-166.07651140073503,0,13
2016-03-30,0.0,0.0,0.0,-153.2768242519522,0,13
2016-03-31,1010.9903143341477,131.67594767630044,0.0,-175.58607433212114,28,13
2016-04-01,1187.1035747350138,137.72338274739835,0.0,-172.6770738555657,26,13
2016-04-04,796.7263958035533,143.122858862575,0.0,-179.66849258181958,25,13
2016-04-05,1005.3149106754379,140.44275365658982,0.0,-192.51782800905303,26,13
2016-04-06,1297.6340099380504,137.3604399317069,0.0,-187.43851505549543,26,13
2016-04-07,720.4726291540103,141.67669782102988,0.0,-205.00555748310987,25,13
2016-04-08,1105.8980860564632,143.7269408828267,0.0,-202.53671212383608,26,13
2016-04-11,1070.0545199259072,125.75279881750629,0.0,-159.37256086625334,28,13
2016-04-12,1158.4956037685283,112.13763835303976,0.0,-139.07333119880562,29,14
2016-04-13,1302.3318920735205,96.1067720611388,0.0,-113.11523464998993,31,14
2016-04-14,1347.8133159553481,24.912990471440548,2.205443396565672,179.15730574360455,36,14
2016-04-15,1016.8244755749424,24.275570709214268,1.965545008989209,232.15743166841028,35,14
2016-04-18,1632.531021352886,30.81938388274551,231.80273976174482,550.3241162638917,39,15
2016-04-19,1780.9769336043585,30.59182846705523,306.5666350328623,637.1679360765505,42,15
2016-04-20,1468.7567493838017,16.28774467282339,307.39117319538434,958.0590378246037,39,15
2016-04-21,945.7606721952778,-107.42177392882132,133.30835236817475,2538.3131972506026,37,14
2016-04-22,899.0495120560095,3.9663112066776165,174.48721225101826,306.25228187641136,27,14
2016-04-25,878.2156623561394,0.6060090634637845,201.2356131851506,598.2694745166665,27,10
2016-04-26,1009.4674895031111,-22.988354807868987,78.30732944276566,812.1374399663688,24,10
2016-04-27,1002.5216061355795,-35.38733863786439,88.46593615988026,1192.4655918922535,28,11
2016-04-28,988.4458910409243,-113.02456928538612,-17.85231403643951,2394.828355107271,28,11
2016-04-29,622.1769442144997,5.707911760087612,37.79414025487012,128.9960981719114,21,11
2016-05-02,284.5861637011624,2.948295813919753,38.79411952227129,240.30278573744152,21,9
2016-05-03,871.0690360663497,41.094147567443564,737.7994188940136,226.1462816599612,24,10
2016-05-04,526.9812055734694,45.102042063074975,739.1678139091844,258.1629876887102,22,10
2016-05-05,408.812021779411,60.931367898546654,754.2198070328952,-14.417419973724726,22,10
2016-05-06,329.00097752246825,73.0254616455507,723.4819818916976,-79.51446172250789,17,10
2016-05-09,418.2211316808682,80.31450113857944,701.3940771661321,-83.0778340775039,18,9
2016-05-10,591.0796982540259,87.02634445240099,646.3400145079536,-75.07799146314865,17,9
2016-05-11,574.3617438683932,69.04533210875043,621.3797697881554,-76.16236171239133,20,9
2016-05-12,556.8344785193879,64.98885161382705,606.7417709497563,-71.89739159790417,20,9
2016-05-13,505.8787661502166,63.92266104098233,619.1681644494321,-76.99378672273082,20,9
2016-05-16,529.7323483946341,63.10190475627707,606.5460315178617,-64.3597636840834,19,9
2016-05-17,447.23921876730014,61.74662735967415,639.8536019789088,-74.95159416103124,20,9
2016-05-18,466.3495480539689,58.2652407688075,630.8760674298426,-52.820312124369636,18,9
2016-05-19,431.9413085174068,41.98690638415505,625.4040900936543,-67.51175413806784,18,9
2016-05-20,528.5865025547638,65.82916361937215,610.094809474361,-81.64824148067795,16,9
2016-05-23,590.4946853009792,75.87059870819871,609.8421575723798,-89.92686936622907,20,10
2016-05-24,457.46703725076935,130.8570291438183,587.7099605745693,-109.06001162849488,22,11
2016-05-25,456.1277650753645,108.12733280166019,576.9624965954599,-108.35485079051116,22,11
2016-05-26,512.1860408424732,72.2866489646903,553.7107337115733,-50.20607297894993,24,11
2016-05-27,618.0045383787524,76.10695229625172,554.1219480987634,-39.28329918260657,24,11
2016-05-31,616.6694421869164,83.6324374127613,509.2085595058414,55.5935605482667,24,11
2016-06-01,575.2347057957691,79.02401364118776,510.08312858626476,141.90324147713352,24,11
2016-06-02,306.589827062858,82.75961198175936,482.1859788373164,366.0346748809617,22,11
2016-06-03,226.5197032257342,117.77316630895942,483.1466717110394,-105.37365199187933,20,11
2016-06-06,200.54578042822175,113.33496655659721,474.3957502853489,-107.36427844073634,20,10
2016-06-07,189.68151620683855,115.7606629331309,478.0855849560485,-109.9514891205311,20,10
2016-06-08,270.8853359370634,124.36765778406541,458.54704891413166,-111.40478236653772,20,10
2016-06-09,281.56085630282865,119.29967669596324,451.3149421691129,-108.40289302986858,24,10
2016-06-10,13.520593756243471,134.21741933171947,485.2753959886693,-132.04617679750606,26,11
2016-06-13,22.891136617287657,132.0393659784143,475.3095944107571,-141.79948611802314,26,11
2016-06-14,74.31078515561259,131.0418629692683,451.5939574374105,-139.58308686716975,26,11
2016-06-15,56.15192275185916,133.7654452740094,474.4851464628873,-147.50661305669874,26,11
2016-06-16,20.75872662810167,122.65353998273095,458.4407422197811,-65.32055687375917,24,11
2016-06-17,-159.3409025792961,123.91142036776775,480.6696617705814,-132.6266667244656,22,11
2016-06-20,-268.6658763166056,139.4880760317634,430.4612341902167,-129.91201055404312,24,12
2016-06-21,-348.16424035503405,136.32768266979085,420.54893536033734,-125.03809145595173,22,11
2016-06-22,-418.7400109844174,126.18082591467241,433.45511634919046,-125.33454505235512,22,11
2016-06-23,-245.73371075358222,125.0116576764229,374.98058051677765,-112.16794157729277,26,11
2016-06-24,-584.4034727525543,91.25193209384668,460.80696695000046,-116.0344888976654,26,11
2016-06-27,-566.0688241629176,83.00086336404765,459.86152942462286,-127.67746477982791,26,11
2016-06-28,-409.9606380889822,91.28954927412701,403.4684265409206,-121.17383382283415,26,11
2016-06-29,-355.7482097242765,93.61606622853681,376.6864070898978,-118.5142273481455,26,11
2016-06-30,-347.25984146681424,92.91564618078435,374.1805696085811,-93.5712452354577,24,11
2016-07-01,-280.82378467641024,107.50269896354678,340.70077512391777,-142.21886960273045,22,11
2016-07-05,-327.968795391941,102.55355366804942,321.35674742043574,-150.46765237401684,22,11
2016-07-06,-296.82721613692763,105.9000825762025,297.7338608361904,-150.4819333245583,22,11
2016-07-07,-263.56258178075706,106.52192533885206,293.7385507023883,-155.2405551664248,22,11
2016-07-08,-142.85519991974346,118.73047128213747,254.94626397018743,-150.89701827830078,22,11
2016-07-11,-59.12839262868627,117.8630116294037,207.8572709062786,-109.46120173452792,24,11
2016-07-12,-15.952170000328167,124.06249367743447,239.05053854988634,-106.60674269390591,28,11
2016-07-13,-91.07084463803713,102.41027293027754,241.17816635669388,-76.02889465617687,34,12
2016-07-14,-21.322478967728244,113.76599154201507,228.88557662148946,-65.57647945729255,38,13
2016-07-15,-36.539526240350185,114.41306100399265,229.0925214635277,-55.25758244649413,38,13
2016-07-18,353.0846230453793,163.63087723968397,219.9482553548146,-11.515233015876335,44,15
2016-07-19,458.18619603634806,151.8910938823659,203.4383993451589,-68.2602802948534,46,15
2016-07-20,457.77327635066626,86.40453458025341,190.7151576391186,-32.478160679461126,44,15
2016-07-21,165.7480451684025,-16.52710201151481,861.5346576148966,627.0664959993128,49,15
2016-07-22,261.3355007838511,32.31708345870252,874.2221302754914,485.5940376399375,40,15
2016-07-25,294.3722389746718,28.926275354185755,893.2941501865276,940.9400518181442,39,14
2016-07-26,571.5437196797192,21.426164328661358,902.0994454832714,1303.1312168004088,38,14
2016-07-27,358.0506139887309,-7.463287931323244,930.6655555236644,2141.826903513673,38,14
2016-07-28,-313.96426227337315,-74.84829049510866,173.4808307966337,4347.546164463405,34,14
2016-07-29,218.01306177156306,91.42169901964071,294.8093353531907,2.0896182367274747,26,14
2016-08-01,320.5679166379331,86.38750325175893,286.69918107528434,72.00033316320649,26,12
2016-08-02,262.0124370906266,84.56856652985044,286.4601886766724,121.17862634984843,26,12
2016-08-03,325.82613879513644,77.17550061854905,283.09256191141105,256.0742347905671,23,12
2016-08-04,372.65422459629474,17.56429891651781,280.59595721712526,164.5649660539758,28,13
2016-08-05,463.9281375298064,70.12622647133763,272.726502148988,-23.867303715692383,25,13
2016-08-08,441.4395629249057,70.73469270240096,268.2956261168515,9.209206897541002,25,12
