ticker,trades,win_rate,avg_pnl,cum_pnl,avg_ret,best,worst
TSLA,39,46.2,2678.7,104467.5,31.1,65614.5,-20187.5
GOOGL,41,51.2,1210.0,49611.0,39.1,17320.0,-32431.0
NVDA,35,60.0,1333.8,46682.0,50.8,11774.0,-8574.5
ASML,28,57.1,1432.7,40116.0,18.8,32985.5,-8621.0
MU,36,66.7,1019.9,36717.5,53.0,15267.0,-965.5
AMD,38,50.0,322.9,12269.0,40.8,6258.0,-3671.0
NFLX,37,56.8,320.2,11848.5,37.1,8906.0,-8120.0
AVGO,37,48.6,261.0,9656.0,10.0,9901.5,-7318.0
AAPL,39,48.7,239.9,9355.0,13.7,4920.0,-1796.5
MSFT,42,42.9,167.0,7012.0,19.6,5492.5,-3241.0
QCOM,41,56.1,109.4,4484.5,58.9,3456.5,-1921.5
AMAT,34,35.3,50.7,1725.5,-5.1,7794.5,-2890.0
PLTR,19,36.8,55.7,1059.0,33.3,1881.5,-2480.0
ACM,6,50.0,-43.3,-260.0,23.4,423.5,-370.5
BABA,40,47.5,-19.9,-797.5,-1.6,3426.0,-2428.5
CSCO,38,42.1,-24.8,-941.0,-0.6,695.0,-610.5
ADBE,37,48.6,-34.2,-1264.5,16.5,9338.5,-7840.5
INTC,38,36.8,-64.3,-2443.5,0.7,976.0,-1278.0
ORCL,38,36.8,-65.2,-2477.5,-20.6,2048.5,-5808.0
META,15,40.0,-419.3,-6289.5,-7.8,6343.0,-7362.5
ZM,17,41.2,-427.5,-7267.0,-35.5,348.0,-1828.5
PDD,22,36.4,-393.6,-8660.0,-2.6,3659.0,-3534.5
ABNB,20,30.0,-559.1,-11182.5,-31.4,2329.0,-3377.0
AMGN,40,35.0,-423.0,-16920.5,-20.5,1505.5,-3513.0
AMZN,41,46.3,-729.0,-29888.0,15.9,25756.5,-32661.5
