n_entry,m_exit,n_trades,cum_pnl,avg_pnl,win_rate,avg_ret,med_ret
1,1,487,-76784.47727584839,-157.66833116190634,41.68377823408625,-1.313980051200486,-17.633375269630932
1,2,489,-56789.478496551514,-116.13390285593357,41.513292433537835,-0.3697323041183702,-18.73639673968544
1,3,488,-79580.47910690308,-163.074752268244,40.98360655737705,-1.4767226138779592,-16.300421373674947
1,4,491,-95750.4847831726,-195.01117063782604,40.122199592668025,-2.612316843643189,-18.128307414504715
1,5,492,-85121.48478317265,-173.01114793327775,40.447154471544714,-2.663865757346829,-17.14726099824128
1,6,492,-88193.48478317261,-179.25505037230204,40.447154471544714,-4.2485568403258265,-17.233307555019067
1,7,491,-62230.48470687866,-126.74233137857162,40.73319755600815,-3.397544683287205,-18.796142912106703
1,8,492,-86666.4847831726,-176.15139183571665,41.05691056910569,-4.702636525305757,-18.187290208730445
1,9,492,-113022.48478317261,-229.72049752677358,41.260162601626014,-4.758666154512467,-18.684167640839338
1,10,492,-116379.48478317261,-236.54366825848092,39.83739837398374,-5.8613206619002085,-16.874244008649487
1,11,492,-122553.48478317262,-249.0924487462858,38.21138211382114,-5.5956818256169285,-18.316539396673125
1,12,492,-94000.48478317261,-191.05789590075733,40.243902439024396,-4.365957202448359,-14.381121072496462
1,13,492,-121293.48478317262,-246.5314731365297,39.43089430894309,-4.407491589255701,-13.062667376187028
1,14,492,-132606.4847831726,-269.5253755755541,39.43089430894309,-5.489064282394745,-14.907801707808286
1,15,492,-123809.4847831726,-251.64529427474105,38.00813008130081,-5.684942825393026,-18.690352524473333
2,1,487,-64298.47727584839,-132.02972746580778,42.09445585215606,-0.8547865956941602,-19.473990689594117
2,2,489,-44072.478496551514,-90.12776788660841,41.104294478527606,0.09005627084913002,-16.812052102913547
2,3,488,-67240.47910690308,-137.78786702234237,40.98360655737705,-1.1087912145082186,-16.7379907618232
2,4,491,-79564.48478317261,-162.04579385574868,39.5112016293279,-2.212038668542631,-18.77977282121364
